experiment_id,sample_id,model_id,batch,true_class,reference_prediction,export_prediction,reference_margin,reference_confidence,agreement,boundary_case
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R00523,MODEL-C1,6,4,1,1,0.4464175349092299,0.7227421367728333,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R00677,MODEL-C1,6,1,2,2,0.0700982270710981,0.5347898851570245,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R00926,MODEL-C1,6,2,2,2,0.9999999999862836,0.9999999999926876,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R01279,MODEL-C1,6,2,2,2,0.0148165688316017,0.3923232102326504,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R01461,MODEL-C1,6,5,3,3,0.0016263730517816,0.4349788249815385,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R01464,MODEL-C1,6,5,3,3,0.0005856692444233,0.4382051217671861,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B6-R01896,MODEL-C1,6,6,1,1,0.4353579462967337,0.712711280620649,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R00000,MODEL-C1,10,4,1,1,0.8258673877091185,0.9070371593583346,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R00009,MODEL-C1,10,3,3,3,0.980513281912504,0.9902544648925502,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R00815,MODEL-C1,10,2,2,2,0.0036417132095818,0.4679029162191004,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R01737,MODEL-C1,10,5,3,3,0.0033596116358982,0.288845052622888,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R02287,MODEL-C1,10,3,3,3,0.0009591359921911,0.4995409128095369,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R02482,MODEL-C1,10,1,3,3,0.0095676317756861,0.5046120645001972,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R02540,MODEL-C1,10,6,1,1,0.0332770581256363,0.4595206197557308,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R02639,MODEL-C1,10,2,2,2,0.9999999999999974,0.9999999999999988,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R02847,MODEL-C1,10,3,3,3,0.0027285068397802,0.5013642499279357,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C1-B10-R03522,MODEL-C1,10,4,3,3,0.0038070867571621,0.4817505888577182,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00000,MODEL-C4,2,1,1,1,0.4267923329310199,0.6119591335581885,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00119,MODEL-C4,2,2,1,1,0.8347675211119352,0.8992578983795727,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00221,MODEL-C4,2,1,5,5,1.0,1.0,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00225,MODEL-C4,2,1,1,1,0.3040140073518226,0.5026703140130973,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00322,MODEL-C4,2,2,2,2,0.0125447902049712,0.425188396618865,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00470,MODEL-C4,2,4,1,1,0.0489706011674264,0.367003665659266,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00475,MODEL-C4,2,6,6,6,0.6428089142449166,0.7391473067392657,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00596,MODEL-C4,2,3,3,3,0.3424319918458847,0.6015046012223656,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00722,MODEL-C4,2,5,4,4,0.0060962286407777,0.3748432377674033,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B2-R00749,MODEL-C4,2,5,4,4,0.0004976310786986,0.3539707917780498,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R00000,MODEL-C4,6,2,2,2,0.9999799661322368,0.999989024393512,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R00358,MODEL-C4,6,2,2,2,0.9999888957806956,0.9999943157640386,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R00490,MODEL-C4,6,3,3,3,0.0067193058209504,0.2594816147728833,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R00491,MODEL-C4,6,3,2,2,0.1969624495014028,0.3949237815946281,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R00521,MODEL-C4,6,4,1,1,0.0017438242674657,0.3897856653758799,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R00665,MODEL-C4,6,5,2,2,0.0008935967506243,0.2837630037191023,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R00675,MODEL-C4,6,1,2,2,0.0124989879640008,0.2960202234472948,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R01329,MODEL-C4,6,2,1,1,0.0019856354374709,0.3671843609385071,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R01811,MODEL-C4,6,5,1,1,0.0004255646258703,0.2131759492476824,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B6-R02141,MODEL-C4,6,6,3,3,0.0119437132362563,0.3647424511090706,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R00000,MODEL-C4,10,4,1,1,0.6892233807287506,0.763549748203593,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R00007,MODEL-C4,10,3,3,3,0.0321540131996621,0.3766065596117667,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R00300,MODEL-C4,10,4,1,1,0.0018239130079621,0.3578644798581875,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R00709,MODEL-C4,10,2,3,3,0.000305330951843,0.3704637085547289,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R01754,MODEL-C4,10,1,1,1,0.0004871871301614,0.3756056275981294,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R01927,MODEL-C4,10,5,5,5,0.0014326261862703,0.2527094242824793,True,False
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R02197,MODEL-C4,10,3,3,3,0.0002317244774205,0.3849582957248778,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R02610,MODEL-C4,10,6,3,3,2.4275151297326047e-05,0.3230119033558296,True,True
EXP-EMBED-FP32-EQUIV-001,GOLD-MODEL-C4-B10-R03479,MODEL-C4,10,5,1,1,0.9999672484656156,0.9999805873653068,True,False
